Ejercicio,Icono Unicode,Descripción,Categoría,Grupo Muscular,Elemento,Nivel,Unnamed: 7
Elevaciones de pierna en barra fija,🏋️‍♂️,Cuélgate de una barra fija y levanta las piernas juntas hacia el pecho.,Zona media,Abdomen|Piernas,Barra fija,Avanzado,
Salto en estocada,🏃‍♂️,"Realiza una estocada y al subir, salta y cambia de pierna en el aire.",Aeróbico,Piernas,Ninguno,Avanzado,
Abdominales con giro,🚴‍♂️,Acuéstate boca arriba con las piernas levantadas y gira el torso de un lado a otro.,Zona media,Abdomen,Ninguno,Intermedio,
Flexiones con toque de pie,🧍‍♂️,"En posición de flexión, lleva una mano hacia el pie opuesto mientras levantas las caderas.",Tren superior,Pecho|Brazos,Ninguno,Avanzado,
Remo con barra,🏋️,Sujeta una barra con ambas manos y lleva la barra hacia tu abdomen mientras mantienes la espalda recta.,Tren superior,Espalda|Brazos,Barra,Intermedio,
Saltos laterales en caja,📦,Salta de un lado a otro sobre una caja o plataforma con ambos pies juntos.,Aeróbico,Piernas,Ninguno,Intermedio,
Press de pecho con kettlebell,🏋️‍♀️,Acuéstate en un banco con una kettlebell en cada mano y empuja las pesas hacia arriba hasta estirar los brazos.,Tren superior,Pecho|Brazos,Kettlebell,Intermedio,
Escaladores de montaña con balón medicinal,🏃‍♂️,"En posición de plancha, coloca las manos sobre un balón medicinal y lleva alternativamente cada rodilla hacia el pecho.",Aeróbico,Abdomen,Balón medicinal,Intermedio,
Sentadilla con press de hombros y banda elástica,🏋️‍♀️,"Coloca una banda elástica alrededor de las piernas, realiza una sentadilla y al subir empuja una banda elástica hacia arriba.",Tren inferior,Piernas|Hombros,Banda elástica,Intermedio,
Plancha con elevación de pierna y brazo,🧘‍♂️,"En posición de plancha, levanta una pierna y el brazo opuesto, manteniendo el equilibrio.",Zona media,Abdomen|Brazos|Piernas,Ninguno,Avanzado,
Escaladores de montaña con mancuernas,🏃‍♀️,"En posición de plancha con una mancuerna en cada mano, lleva alternativamente cada rodilla hacia el pecho.",Aeróbico,Abdomen,Mancuernas,Intermedio,
Flexiones con pies elevados,🧗‍♂️,Acuéstate boca abajo con los pies elevados en una plataforma y realiza una flexión de brazos.,Tren superior,Pecho|Brazos,Ninguno,Avanzado,
Plancha con movimiento lateral,🧘‍♂️,"En posición de plancha, mueve las manos y los pies lateralmente de un lado a otro.",Zona media,Abdomen|Brazos,Ninguno,Intermedio,
Levantamiento de cadera con balón medicinal,⚽,"Acuéstate boca arriba con las rodillas dobladas y los pies en el suelo, sujeta un balón medicinal con ambas manos y levanta las caderas.",Tren inferior,Glúteos|Piernas,Balón medicinal,Intermedio,
Peso muerto a una pierna,🏋️‍♀️,Sujeta una mancuerna en cada mano y baja el torso mientras levantas una pierna hacia atrás.,Tren inferior,Piernas|Glúteos,Mancuernas,Avanzado,
Flexiones con mancuernas,🏋️,Acuéstate boca abajo con una mancuerna en cada mano y realiza una flexión de brazos.,Tren superior,Pecho|Brazos,Mancuernas,Intermedio,
Plancha con elevación de cadera,🧘‍♂️,"En posición de plancha, levanta las caderas hacia el techo y luego bájalas nuevamente.",Zona media,Abdomen|Piernas,Ninguno,Intermedio,
Remo con banda elástica de pie,🏋️,Sujeta una banda elástica con ambas manos y tira de la banda hacia tu abdomen mientras estás de pie.,Tren superior,Espalda|Brazos,Banda elástica,Principiante,
Saltos en caja con una pierna,📦,Salta sobre una caja o plataforma con una pierna a la vez.,Aeróbico,Piernas,Ninguno,Avanzado,
Press de hombros con balón medicinal,🏋️‍♀️,Sujeta un balón medicinal con ambas manos a la altura de los hombros y empuja hacia arriba hasta estirar los brazos.,Tren superior,Hombros|Brazos,Balón medicinal,Intermedio,
Zancadas con banda elástica,🏋️‍♀️,Coloca una banda elástica alrededor de las piernas y realiza zancadas.,Tren inferior,Piernas|Glúteos,Banda elástica,Intermedio,
Burpees con mancuernas,🏋️,"Desde una posición de pie, sujeta una mancuerna en cada mano, agáchate, haz una flexión de brazos, vuelve a ponerte de pie y salta.",Aeróbico,Piernas|Brazos,Mancuernas,Avanzado,
Plancha con toque de rodilla,🧍‍♂️,"En posición de plancha, levanta una mano y toca la rodilla opuesta, luego cambia de lado.",Zona media,Abdomen|Brazos,Ninguno,Intermedio,
Flexiones inclinadas con balón medicinal,🧗‍♂️,Acuéstate boca abajo con las manos elevadas en un balón medicinal y realiza una flexión de brazos.,Tren superior,Pecho|Brazos,Balón medicinal,Intermedio,
Sentadilla con salto y kettlebell,🏋️‍♀️,"Sujeta una kettlebell con ambas manos a la altura del pecho, realiza una sentadilla y al subir salta lo más alto posible.",Aeróbico,Piernas|Glúteos,Kettlebell,Avanzado,
